cantonese,english,beam
要我去杜那里演出他们的系列,To get me over to Duval's to model their collection.,
我早该知道 你该听到他的话,- I should have known. - You should've heard what he said last night!,
若我们迟一点来你就会亲身发现,"If we'd come a few minutes later, you'd have found out for yourself.",
颜先生，你说够了,"You've said enough, Mr Avery.",
还没有，我没有说你是个骗子,Not yet. I haven't told you what a phony you are.,
快滚 我没准备离开,- Get out of my house. - I'm not ready to leave.,
我可以改变你的主意,I think I can change your mind.,
接着,- Catch! -,
不要,"Oh! Oh, no! Look what you've done!",
看你惹的祸，像个暴徒般闯进来,Bursting in here like a hoodlum!,
我没有碰过他 走开,- I never touched him. - Go away!,
是时候你负起你的责任了,It's time your waking up to some of your responsibilities.,
请你离开好吗？,Will you please leave?,
没有你杜不能展出他的系列的,"Duval can't show his collection without you, regardless what you feel about me!",
你不能这样对他和其他人,"You can't do this to him, or to all the other people involved!",
有数百人,Hundreds of people.,
我对你们的人没有兴趣,"I'm not interested in your people, than you are in mine!",
你的共鸣有点单方面 滚开,- Your empathy is a little one-sided.,
好了,Alright!,
我假设你是指我吧,"I assume you mean me, too?",
甜心，这个很可爱,"On you it looks cute, sugar.",
你会办妥一切,"Well, you certainly fixed everything!",
