cantonese,english,greedy,beam
我仲未知。,I don't know yet.,I don't know the relationship.,I don't know who I am.
你仲有冇收集郵票呀？,Are you still collecting stamps?,You're a collector of postage?,You and I collect postal stamps?
我哋仲有大把時間剩。,We still have plenty of time left.,I have a lot of time left with each other.,I have a lot of time left with each other.
我講講吓嘢，佢就突然間收咗線。,He suddenly hung up the phone while I was speaking.,"I was shocked, and I suddenly got the line.","I was shocked, and suddenly the line was intercepted."
仲落緊雨。,It's still raining.,The rain is falling on the ground.,It's a rainy day.
我仲未有機會睇嗰套戲。,I haven't had a chance to see the movie yet.,I'm not going to have to go to the movies.,I'm not going to be able to do this.
我仲未準備好。,I'm not ready yet.,I'm not ready for this.,I'm not ready for this.
你應該同你阿爸阿媽傾吓先。,"First of all, you should talk it over with your parents.",You should be in the same way as your parents and mothers.,You shouldn't be afraid of your father and mother.
德蘭修女將筆獎金用咗喺佢喺印度同埋全世界嘅事業到。,Mother Teresa used the prize money for her work in India and around the world.,The princess of the throne will use the prize money to carry out her business in India and the world.,Ms. Durran donated her handwriting prize to India and the rest of the world.
阿 Mike 成日喺度𠱓佢老豆買架車俾佢。,Mike is always nagging his father to buy him a car.,I'm not sure if I can get a car from my old brother.,"I'm sorry, Mike's been a day and a night, and I bought a car with a soybean."
知道個真相嘅人淨係得幾個。,Only a handful of people know the fact.,The truth is that the human being is a few times as pure as the truth.,"To know the true facts of human affairs, we have to do several things."
我淨係見過佢一次咁大把。,I saw him but once.,I've been looking at this one big thing.,I've been looking at it for a long time.
懷特先生好似有好多朋友。,Mr White seems to have many friends.,Mr. White seems to have a lot of friends.,Mr. White seems to have a lot of friends.
Bob係我朋友。,Bob is my friend.,Bob is my friend.,Bob is my friend.
阿Bob又見番佢喇。,Bob saw him again.,The same is true of the A-Bob.,I'll see you again.
阿 Bob 老豆喺女校教書。,Bob's father teaches at a girls' school.,Bob's old-school teacher'' s book.,Bob's old-fashioned female school textbook.
男仔多數都鍾意棒球。,Most boys like baseball.,Most boys love baseball.,Most boys love baseball.
你有冇㩒到個掣呀？,Did you push the button?,You have to go to the lock?,Do you have to go to the locker?
粒鈕甩咗出嚟。,The button came off.,Their tail is dropped and they are left.,I'm going to get out of here.
講嘢嗰陣唔好插隻手落個袋度。,Don't speak with your hands in your pockets.,Their hands are very small and they have a small handful of bags.,I'm not sure if you're going to be able to pick up a bag or not.
我唔鍾意飲咖啡。,I don't like coffee.,I'll drink coffee.,I'd like to drink coffee.
我叫佢做「矮仔」，佢就嬲到紮紮跳。,He got mad at me for calling him Shorty.,"I'm called ""Dwarf Boy"", and I just got stuck.","I said I'm going to be a ""short boy"", and I just got stuck."
你可唔可以俾啲錢我呀？,Can you give me some money?,"You can give me money, can you?",Can you give me some money?
我識一間好食嘅意大利餐廳。,I know a good Italian restaurant.,I know a good Italian restaurant.,I know a good Italian restaurant.
我支原子筆冇晒墨喇。,My ballpoint pen just ran out of ink.,"I'm a writer of the originals of my own, and I am a sunshine.",I've been working on my mother-in-law's pencil for a while.
阿 Paul 舊年賺咗好多錢。,Paul made a lot of money last year.,"Paul, I've made a lot of money in old years.",Paul has made a lot of money in old years.
唔知阿Paul點呢？,I wonder what happened to Paul.,I don't know about Paul's point?,I don't know about Paul's point?
你買咗啲咩俾你男朋友呀？,What did you buy for your boyfriend?,You bought your boyfriend?,You bought your boyfriend?
你有冇筆呀？,Do you have a pen?,You have a pencil?,You have a pencil?
如果你要筆，我就借支俾你啦。,"If you need a pen, I'll lend you one.","If you need a pencil, I'll borrow it from you.","If you want to write, I'll borrow from you."
揸電單車唔戴頭盔好危險㗎。,It is dangerous to ride a motorbike without a helmet.,I have a motorcycle and wear a helmet is dangerous.,I'm a motorcyclist and wear a helmet is very dangerous.
貝絲好鍾意喺人哋講嘢嗰陣加把口落去。,Beth has a strong habit of interrupting people while they are talking.,"Their mouths are covered with a flower, and the mouth is covered by a bead.","She's a good girl, and she'll take her mouth off when she hears that."
我食齋嘅，所以如果可以嘅話我唔想食肉。,"I'm a vegetarian, so I'd rather not have meat, if that's okay.","I'm eating rice, so if I can talk I don't want to eat meat.","I'm eating rice, so if I can talk I don't want to eat meat."
我去個櫃檯度攞咗條鑰匙，跟住就搭𨋢去咗我間房嗰層樓。,"After asking for my key at the front desk, I took the elevator to my floor.","I'll go to the counter and check for a key, and I will stay and go down to my apartment on the second floor.","I'll go to the counter and check the keys, and stay there until I get to my apartment on the second floor."
巴西講咩文㗎？,What is the language spoken in Brazil?,Brazil is a country of Latin America.,Brazil speaks Chinese?
唔該你俾布朗先生個電話我吖。,Please give me the number for Mr Brown.,I'll call Mr. Brown on the phone.,I'll call Mr. Brown on the phone.
葡萄酒嘅味道好受天氣影響。,The taste of wine is largely dependent upon the weather.,The wine tastes well under the influence of weather.,The wine tastes well under the influence of weather.
我係鍾意食提子，不過咁多就真係食唔落。,"I like grapes, but I can't eat so many.","I'm going to eat my son, but I really don't want to.","I've tried to eat my son, but I can't really eat him."
佢喺個泳池游水嗰陣整唔見咗儲物櫃條鎖匙。,"While swimming in the pool, she lost her locker key.",I'm a swimmer in a pool and I see the treasure box lock key.,I've been swimming in a single swimming pool and watched the treasure box lock keys all the time.
個樽入面已經冇晒水喇。,There is no water left in the bottle.,The water is then poured into the barrel and the water has been dried.,The barrel in front of the barrels has been exposed to water.
個樽入面仲有少少牛奶淨。,There is a little milk left in the bottle.,The barrels are filled with a small amount of milk and milk powder.,Each barrel has a small amount of milk and fresh milk in the face.
如果我唔喺度嗰陣有人嚟搵我，唔該你話佢知我好快返嚟。,"Should anyone call on me in my absence, tell him that I will be back soon.","If I'm not going to be in a row and someone's coming to see me, you're not talking about me and I know I will be back soon.","If I don't know if someone's coming to visit me, I know you're talking to me and I'm coming back."
我想同一個鍾意打機嘅女仔結婚。,I'd like to marry a girl who likes to play video games.,I want to marry a girl with a rocket-cracking girl.,I'd like to marry a girl with a rocket launcher.
老師話畀我知希特勒自殺咗喇。,The teacher told me that Hitler killed himself.,I know that my teacher told me that Hitler committed suicide.,The teacher told me that I knew that Hitler had committed suicide.
可唔可以俾多支啤酒我呀？,"Could I get one more beer, please?",I suppose you can have a beer with me?,"Well, can I have some beer?"
我想要啲嘢嚟送酒。,I would like to have something to munch on with my beer.,I want to get some wine.,I'd like to get some wine.
可唔可以唱首披頭四嘅歌俾我聽呀？,Will you sing me a Beatles' song?,I can sing the song of the fourth head of a wig if I hear it?,"Well, I can sing the song of the headdress if I hear it?"
我應唔應該搵阿 Peter 幫手呢？,Shall I ask Peter for help?,"I should be Peter's helper, should I?",Should I be Peter's gangster?
麵包係用麵粉同水做嘅，有時仲會加埋發酵粉。,"Bread is made from flour, water, and often yeast.","The bread is made with flour and water, sometimes the couples add fermentation powder.","The bread is made with flour and water, and sometimes the couples add fermentation powder."
兩個漢堡包同埋一罐可樂吖唔該。,"Can I have two hamburgers and a coke, please?",Two hamburgers packed with a can of cocoa and a two hamburger packing.,Two hamburgers packed with a can of cocoa and a two-packed hamburger.
淨係得中國先有大熊貓。,Giant pandas live only in China.,The Chinese first had a big bear cat.,The Chinese first had a big bear cat.
我打排球嗰陣篤咗魚蛋。,I sprained my finger while playing volleyball.,I'm playing volleyball and I am a fish egg.,I play volleyball and I'm very good at fish eggs.
我真係好想去巴黎睇吓。,I'm dying to see Paris.,I really want to go to Paris for a visit.,I'd really like to go to Paris for dinner.
我記得喺巴黎見過佢。,I remember meeting him in Paris.,I remembered seeing Paris from Paris.,I remember seeing Paris in Paris.
我唔肯定。,I don't know for certain.,I'm sure.,I'm sure.
巴士站喺邊呀？,Where's the bus stop?,I'm at the bus stop right here?,I'm at the bus stop next to you?
佢一落車，就聽到有人叫佢個名。,"While getting off the bus, she heard her name called.","When I got off the car, I heard someone call me by name.","When I got out of the car, I heard someone call me by name."
架巴士仲未嚟。,The bus hasn't come yet.,The buses are not connected to each other.,The buses are not connected to each other.
巴士司機有責任保護乘客嘅安全。,A bus driver is responsible for the safety of the passengers.,The bus driver is responsible for protecting passengers' safety.,The bus driver is responsible for protecting passengers' safety.
啲巴士司機今日罷工。,The bus drivers are on strike today.,The bus drivers today strike.,The bus drivers today strike.
我可能漏咗把遮喺巴士度。,I may have left my umbrella in the bus.,I can't get to the bus stop.,I might have missed the bus stop.
你搭巴士去嘅話，可以慳返三分二時間。,"If you go by bus, you can get there in about one-third of the time.",You can take your bus to your destination and return it in two-thirds of an hour.,"If you take the bus to your destination, you can return two-thirds of an hour."
我哋個沖涼房淨係得一條浴巾。,There's only one bath towel in our bathroom.,I have a bathing suit for each of my private rooms.,I've got a bath towel from my private sauna room.
佢一開始嗰陣都唔知自己贏咗場演講比賽。,At first he did not realize that he had won the speech contest.,I was first told I knew I won the speech contest.,The first team knew that they would win the speech contest.
我一開頭唔係好鍾意佢。,"At first, I didn't like him.","I'm going to start the new one, I think I can do it.",I'm going to open my mouth and I will be happy to meet you.
過馬路之前一定要睇清楚有冇車先。,Never go across the street without looking for cars first.,"Before crossing the road, you must know the car's location.","Before crossing the road, you must know that there is a car ahead of you."
個桶底穿咗個窿。,There's a hole in the bottom of the bucket.,The bottom of the barrel is through a hole.,The bottom of the barrel is filled with holes.
拉緊小提琴嗰個人係邊個嚟㗎？,Who is the man playing the violin?,The individual is individually separated from the individual by the playing of a piano.,"""The personality of the player is separated from each other by a musical instrument."
嗱，鎖匙。,Here are your keys.,"""Sleeves, keys.""",", lock keys."
開 party 啲嘢就全部等你嚟搞喇。,I will leave everything about the party up to you.,I'm all looking for you to do it.,I'm going to have to wait for you to do it.
唔該喺個生日蛋糕上面插幾支蠟燭吖。,Please put some candles on the birthday cake.,I have a birthday cake and put a few candles on it.,I'll put some candles on my birthday cake.
因為我好頸渴，所以我飲咗啲水。,"Since I was thirsty, I drank water.","I'm so thirsty, I drink water.","Because I'm thirsty, I drink water."
我個喉嚨好似比火燒噉。,My throat burns.,My throat looks like a fire burned.,My throat looks like a fire burned.
我口渴到死。,I'm dying of thirst.,I'm dying of thirst.,I'm thirsty to death.
個花樽喺張枱度留低咗啲水跡。,The wet vase left a mark on the table.,The water is very low and the water traces are low.,Each flower barrel is covered with water traces.
失驚無神落大雨，搞到我全身濕晒。,I was utterly soaked by the downpour.,"I was surprised by the rains, which made me wet and sunny all over.","I was shocked by the heavy rain, which made my whole body wet and sunken."
點解佢哋淨係話我？佢哋搵我嚟祭旗咋嘛。,Why am I the only one they complain of? They're just making an example out of me and using me as a scapegoat.,"I'm not sure I can tell you what I mean, but I know what the flag is.",I'll tell you how to talk to me? I want to know what the festival flag is.
隻雀仔好靚喎！,What a beautiful bird it is!,I'm a good boy!,You're a good bird!
你想同我傾啲咩呀？,What do you want to talk to me about?,"""You want to be with me?""",You want to be with me?
佢好醒目，但係就唔係好幫到手。,"He may be clever, but he is not very helpful.","I'm not sure if I can get to the house, but I will.","I was awake, but I'll help you to get there."
做咩事都要做到最好。,"In doing anything, you must do your best.",I'm always doing my best.,It is best to do everything you can.
我仲係單身。,I'm still single.,Their relationship is single.,I'm alone with my friends.
佢尋日做咩唔嚟嘅？,What prevented her from coming yesterday?,I'm not sure I was going to be able to do that.,"I mean, I'm not really sure what's going on?"
佢做咩好似好唔開心咁嘅？,Why is it that she looks so sad?,"I'm like a good girl, I love you?",I'm so happy that I can't do it.
你做咩唔同佢跳舞嘅？,Why didn't you dance with him?,You're doing a dance with me?,Did you dance with me?
你做咩好似好唔開心噉嘅？,Why are you looking so sad?,"You're doing a good job, you know?","You look like you're very happy, right?"
你做咩喊呀？,Why are you crying?,You're crying?,Are you crying?
你做咩粒聲唔出嘅？,How come you didn't say anything?,You're making a sound like a drum?,You're singing a song?
你做咩搵隻手嚟搣塊布，唔用較剪剪呀？,Why did you tear the cloth instead of cutting it with scissors?,"You are a man with a hand, and you have a knife, but you can't cut it?","You are a man with a hand, and you have to cut and trim, don't you?"
點解？,Why?,"The phenomenon of the phosphorus is known as the ""phosphate"" or ""particle"" .",I'm going to take a break.
你點解咁講嘅？,Why do you say that?,You're talking about something?,What do you mean?
你點解唔信我呀？,Why didn't you believe me?,You're not gonna believe me?,You don't believe me?
你今朝做咩遲到嘅？,Why were you late this morning?,You're late this morning?,What are you doing late this morning?
唔該你借把刀俾我吖。,Please lend me your knife.,"I'm sorry, but I have to take the knife.",I think you've borrowed my knife.
你用咩方法都好，結果都係一樣。,"However you do it, the result will be the same.","You've done all the right things, and the results are the same.","You've done everything you can, and the results are the same."
係人都做到啦。,Anyone can do that.,All the staff did it.,All of them did it.
咁簡單嘅嘢三歲細路都識啦。,The smallest child knows such a simple thing.,It's a simple three-year-old road to know all about.,It's easy to know the three-year-old road.
今年興啲咩款嘅外套呀？,What sort of coats are in fashion this year?,What's your new coat this year?,What's your new coat this year?
無論個結果會係點，我都唔會改變我個計劃㗎喇。,"Whatever results may follow, I will carry out my plan.","I will not change my plan, regardless of the outcome being the point of departure.","No matter what the outcome is, I will not change my own plan."
你跑得幾快都追唔上佢㗎喇。,"No matter how fast you run, you won't catch up with him.",You're running faster than you can run and you'll be running on the top of the mountain.,"You've run as fast as you can, and you're on your way up the mountain."
佢出盡晒力都開唔到嗰道門。,"No matter how he tried, he could not open the door.",I'm going to take my best time to get to the gate.,I've spent all my energy to get to the road gate.
發生咩事都好，我點都唔會出賣我班朋友。,I will never sell my friend down the river for anything in the world.,"All things are well, I'll sell my classmates to my friends.","All that's going on, I'm going to sell my classmates to my friends."
唔該可唔可以幫我喺多倫多國際機場附近book間房呀？,Would you please reserve a room near the Toronto international Airport?,"""Well, can you help me find the book room near Toronto International Airport?","Well, can you help me find my book room near Toronto International Airport?"
隨便攞件蛋糕啦。,Take whatever cake you want.,I'll have a cake for you.,Let's get some cake.
阿Tom好後悔自己虛度咗咁多光陰。,Tom regretted having wasted a great deal of his life.,The writers regretted that they had been too busy to see the light.,I'm sorry that I didn't know how to do it.
阿Tom跑得好快。,Tom can run fast.,A Tom runs very fast.,A Tom runs very fast.
阿Tom打爛咗個窗。,Tom broke the window.,A single window is opened.,A single window was opened by Tom.
阿Tom打爛咗個窗。,Tom broke the window pane.,A single window is opened.,A single window was opened by Tom.
阿Tom本來諗住朝頭早早啲出發，點知瞓過咗龍。,"Tom expected to leave early in the morning, but he overslept.","The first of these is the first to be seen in the morning, and the second to see the dragon.","As a result, he was able to get to the top of the mountain early in the morning, and learn about the dragon."
阿Tom好似舊石頭咁，一啲都唔識游水。,Tom can swim no more than a stone can.,"A Tom is like an old stone head, and one of them is able to swim water.","A Tom is like an old stone head, and one of them knows how to swim the water."
阿Tom以前從來都唔食煙㗎，不過而家開始食咯。,"Tom never used to smoke, but he does now.","A Tom has never smoked before, but the family started eating.","A Tom never smoked before, but the family started eating anyway."
阿Tom係個學生。,Tom is a student.,A.T.A.S. is a private student.,Students at the University of Tokyo.
阿Tom人好老實，我鍾意佢。,"As Tom is honest, I like him.","I'm a good man, I love you.","I'm a good man, I love you."
Tom仔好老實，唔識講大話。,Tom is too honest a boy to tell a lie.,"Tom is a good old man, and he knows a lot about big business.","Tomboy is a good old man, and he knows the big story."
阿Tom游水好勁。,Tom is able to swim well.,A water-filled water tank.,The water is well drained.
阿Tom好鍾意整蠱我。,Tom enjoys playing tricks on me.,I'm not sure if Tom's going to be able to get me.,"""I'm not going to be able to do this."""
阿 Tom 返咗鄉下。,Tom went back to his hometown.,"""A Tom Returns Home"".",Tom returns to his hometown.
湯姆係呢隊棒球隊嘅隊長。,Tom is the captain of this baseball team.,"""The Baseball Team's Director"".",He is the captain of the baseball team.
阿Tom同佢老豆一樣咁高。,Tom is as tall as his father.,A Tom is as tall as a big old bean.,A Tom is also as tall as the old beans.
阿 Tom 一開電視就跳咗 fuse。,No sooner had Tom turned on the TV than the fuse blew.,Tom is a television star who is in the middle of a fuse.,I've been on TV for a long time and I can't stand it.
愛迪生發明咗電燈膽。,Thomas Edison invented the light bulb.,The electrical light was invented by David A. E. Lee.,The electrical light was invented by Edison.
個個男仔都有架單車。,Each boy has a bike.,Each of the two boys has a single car.,Each of the boys has a single car.
你以前住邊間屋㗎？,Which house did you live in?,You used to live in a house on the sidewalk.,You used to live on the sidewalk.
有啲咩病徵㗎？,What are the symptoms?,Is there any disease?,Are there any symptoms?
Tony幾多歲呀？,How old is Tony?,How old is Tony?,How old is Tony?
阿 Tony 打網球真係好勁呀！,What a good tennis player Tony is!,Tony's tennis is really strong!,Tony is really good at tennis!
我攰到行唔郁喇。,I'm so tired that I can't walk any longer.,I'm going to the airport.,I'm on my way to my destination.
我攰到行唔郁喇。,I'm too tired to walk any longer.,I'm going to the airport.,I'm on my way to my destination.
雖然天氣好凍，但係個細路都無著到外套。,The child had no overcoat on although it was very cold.,"Although it was very cold and rainy, the weather was fine, but the coat was not covered by the smallest of the roads.","Although the weather was freezing cold, but each of the little roads did not reach the coat."
你好似好開心咁喎。,You look very delighted.,I'm glad you're happy.,I'm glad you're happy.
你心情好似好靚咁喎。,You look very delighted.,You have a very good heart.,You have a very good heart.
個天突然間開始變黑。,The sky suddenly began to darken.,The day suddenly began to turn black.,Every day suddenly suddenly starts to turn black.
邊本書係你㗎？,Which book is yours?,"I'm sorry, but this book is yours?",This book is about you.
任你揀。,You may choose whichever you like.,I'm going to be yours.,I'll take you there.
我應該由邊個開始咧？,Which shall I begin with?,I should start from the sides.,I should have started from scratch.
話時話，你今晚得唔得閒呀？,"By the way, are you free tonight?",I'll talk to you later. You're having a good time tonight?,"You're going to be busy tonight, are you?"
係啦，你住喺邊度呀？,"By the way, where do you live?","I mean, you live on the other side of the border?","Well, you live on the other side of the border?"
吖，係啦，可唔可以俾你個地址我呀？,"By the way, what is your address?","I'm sorry, but can I give you your address?","I'm sorry, but can you give me your address?"
係喇，我有啲嘢要話你知。,"By the way, I have something to tell you.","I've got something to tell you, you know.","I've got something to tell you, you know."
話時話，我有啲嘢要同你講。,"By the way, I have something to tell you.",I have a question to ask you.,I'm going to talk to you about it.
我去到邊都帶住部相機。,I take my camera wherever I go.,I went to the borders with my camera.,I went to every country with my camera.
無論喺咩地方，過馬路之前都應該望清楚左右先。,It's a good rule to look both ways before you cross the street anywhere.,"Before crossing the road, you should be sure to look carefully before going to the place.","As far as the area is concerned, it should be clear before crossing the road whether or not you should go ahead."
你可唔可以話我知我錯喺邊呀？,Will you tell me where I am wrong?,"You can tell me I'm not here, can you?",You can't tell me I know I'm wrong?
我好似喺邊到見過你。,I remember meeting you somewhere.,I'm like I came to see you.,I feel like I'm coming to see you.
有咩唔同呀？,What's the difference?,I'm not sure I have a problem with that?,Are you with me?
我驚聽日會落雨。,I'm afraid it will rain tomorrow.,I wondered how the day would rain.,I wonder when the day will rain.
我好似發燒呀。,I seem to have a fever.,I like to burn it.,I like to burn it.
可唔可以舉幾個例子呀？,Please give us some examples.,"Well, can you give me a few examples?","Well, can I give you a few examples?"
小心揸車呀。,Please drive carefully.,Be careful about the car.,Take care of the car.
隨便食吖。,Please help yourself.,I'm eating it.,I'm going to eat it.
隨便坐啦，當自己屋企得喇。,Please make yourself comfortable.,"I'm sitting here, when I am trying to get my hands on it.","I'm going to sit down, when I want to do it."
你點識佢㗎？,How did you get to know him?,You know what I'm doing?,Did you know this?
佢做咩無嚟到嘅？,What prevented him from coming?,I'm not sure I have a problem with this.,I don't know what I'm doing.
佢做咩失驚無神問埋啲咁認真嘅問題嘅？,Why all of a sudden did he ask me such a serious question?,I was completely surprised to ask myself a serious question about this problem.,I'm totally surprised to ask you something really serious about the problem?
你做咩唔出聲呀？,How come you say nothing?,You're making a sound?,Are you singing?
你點知㗎？,How did you come to know it?,You know what I'm doing?,What do you know?
唔知點解我硬係無心機做嘢。,For some reason or other I cannot bring myself to work.,I'm not sure I can do it without the help of the wise.,I don't know what I'm talking about.
食煙唔該去出面食吖。,"If you are going to smoke, please go outside.","He is not allowed to eat food, but to drink drinking.",I'm not going to go out and eat food.
你做咩油咗張長凳做紅色嘅？,Why did you paint the bench red?,You made the bench red with oil?,You made the bench red with oil?
你做咩咁夜先嚟探我哋呀？,How come you call on us so late at night?,You were looking for me the night before?,You've been looking for me the night before?
唔該你打電話話個結果俾我聽吖。,Please let me know the result by telephone.,I'm not sure if you're going to be able to answer the phone calls.,I've been listening to the results of your phone calls.
可唔可以幫我攞張紙嚟呀？,"Bring me a sheet of paper, please.","""Well, can you help me to get a paper clipping?","Well, can you help me with the paperwork?"
請你寫低你嘅真實經驗。,Please write about your real experience.,Please write down your real experience.,Please write down your real experience.
廁所喺邊呀？,Where is the toilet?,I'm in the bathroom next to you?,Next to the toilet?
洗手間喺邊？,Where is the toilet?,Wash my clothes?,Did I wash my clothes?
廁所喺邊？,Where is the toilet?,I'm in the bathroom?,Next to the bathroom?
廁所喺邊？,Where's the toilet?,I'm in the bathroom?,Next to the bathroom?
冇晒廁紙喇。,There's no toilet paper.,The paper is a paper of the same name.,It's a very good paper to write.
我諗唔起「多謝」用德文點講。,"I can't remember how to say ""Thank you"" in German.","I have to say ""thank you"" in German.","I'm going to say ""thank you"" in German."
德國喺荷蘭隔籬。,Germany adjoins the Netherlands.,Germany and Holland are separated.,Germany and the Netherlands were separated.
我俾咗張飛個看門員睇，跟住就走咗入間戲院度。,I showed my ticket to the doorman and went into the theatre.,"I'm going to fly to see the entrance staff, and stay and go to the cinema.",I'm going to go to the entrance of the theatre.
我開門嗰陣將個門柄擰甩咗。,"I tried to open the door, and the doorknob came off.",I'm going to open my door and I will leave the whole door open.,I'm going to open my door and leave the whole door open.
求吓你開門俾我入嚟啦。,"Open the door and let me in, please.",I'm going to have to open the door to get in here.,I want you to open the door so I can get in here.
唔該你打開道門吖。,Please open the door.,You're gonna open the door.,You're going to open the door.
你可唔可以唔好開住道門呀？,Would you please not leave the door open?,You can open the gate?,You can open the gate?
我唔見咗條門匙，所以我入唔到間屋。,"I lost the door key, so I can't enter the house.","I'm looking for the key, so I go in the house.","I was looking for the key, so I entered the house."
我睇埋電視先去做功課。,I'll do my homework after I watch television.,I'm going to go to the TV and do my shopping.,I'm going to go to the TV and do my homework.
可唔可以將部電視較細聲少少呀？,Could you please turn your television down?,"Well, can you make the departmental televisions a little louder and a bit louder?","Well, you can make the departmental television a little bit louder and a bit quieter?"
而家啲細路唔鍾意睇書㗎喇，真係多得啲電視機唔少。,"Thanks to television, boys and girls are apt to neglect reading books.","I have a very small family and I am very interested in books, I really have more television and less.","I'd like to write a book, but I don't have a TV, so I need a lot of television."
你介唔介意我開電視呀？,Can I turn on the TV?,You mean I'm going to open the television?,Do you mind if I open the television?
唔好意思，我要走喇。,I am afraid I must be going now.,I'm going to walk.,"It's a good idea, I'm going to walk."
我鍾意打網球。,I like playing tennis.,I'm going to play tennis.,I'd like to play tennis.
我盡量留肚食甜品。,I'm trying to save room for dessert.,I'm gonna keep my mouth full of sweets.,I'm trying to keep my stomach full of sweets.
我有機會會盡快見佢。,I'll meet him at the earliest opportunity possible.,I'm going to be very happy to see you.,I'm going to be very happy to see you.
我將啲空閒時間冚辦爛攞晒嚟睇書。,I spend what time I can spare reading.,I'll spend my free time reading and reading books.,I'm going to spend my free time reading and reading books.
張枱上面嗰部計數機係我嘅。,The calculator on the table is mine.,The number of the squares is the number that I have.,I've been working on a number of computers since I was born.
張枱上面有幾多本書呀？,How many books are there on the table?,"""How many books are there on the top of the rail?","""How many books are there on the top of the screen?"
我搵唔到阿Tim喎。,I can't find Tim.,I'm going to A Tim.,I'm going to A Tim.
佢哋一個又一個噉企咗起身，行咗出去。,One after another they stood up and went out.,I'm going to get up and go out.,I'm going to get up and get out of here.
阿 Paul 啱啱打咗電話比我。,Paul telephoned just now.,Paul has been calling me on the phone.,I've never heard Paul call me before.
大就可能大咗小小，不過呢個信封冇問題㗎喇。大得濟好過細得濟吖嘛。,It might be a bit big but this envelope will do just fine. It's better to be too big than too small.,"The big one may be small, but the individual letter-boxes have problems with the letter. Greatness is a very fine and detailed letter of the Grand Prince.","It may be small or large, but there is a problem with the individual envelope."
俾我睇吓。,Let me see it.,I'm so excited.,I'm afraid of it.
俾我睇吓你部錄影機。,Let me have a look at your video camera.,I'm gonna scare you with your video camera.,I'm gonna scare your video camera.
唔該攞兩支粉筆畀我。,Please bring me two pieces of chalk.,I'm gonna have two pencils on me.,I've got two pencils on me.
我就快走喇。,I'm about to leave.,I'll go fast.,I'm going fast.
你應該食啲嘢先走。,You should eat something before you go.,You should eat your food and go.,You should eat and walk away.
我冇飛。,I don't have a ticket.,I'm flying.,I'm flying.
啲飛一個禮拜都唔使就賣晒喇。,The tickets sold out within a week.,I'll sell it to you for a week.,I've spent a week flying and selling sunbath.
售票處喺邊呀？,Where can I buy tickets?,"""I'm at the ticket office right here?",I'm at the ticket office next door?
邊度有得買飛呀？,Where can I buy tickets?,"""I can't buy a fly from the border, can I?""",Can I buy a fly from the border?
呢排啲天氣愈嚟愈涼爽喇。,It is getting cooler and cooler.,The weather is cooler and coolers.,The weather is warmer and cooler.
同人哋握手嗰陣，一定要有眼神接觸。,"When you shake hands with somebody, you must look him in the eye.","The same person who shakes hands with the lion, must have eye contact.","The same person who shakes hands on the ground, must have eye contact."
有人喺呢本書到搣咗兩頁落嚟。,Someone has torn two pages out of this book.,This book is written on two pages and has two page breakdowns.,This book is written on two pages.
兩公婆應該得閒去浸溫泉，過吓二人世界。,Sometimes it's good for a married couple to go to a hot spring together—just the two of them.,"Two grandmothers should have a free time to bathe in hot springs, scare two worlds.","Two grandmothers should be free to bathe in hot springs, scare two worlds."
我開會嗰陣咁啱得咁橋坐正喺佢隔籬。,It happened that I sat next to her at a meeting.,I'm going to meet the people who have to cross the bridge to sit right on the side of the road.,I'm going to have a meeting where I can get to the bridge and sit right next to me.
你應該食少啲煙。,You should smoke less.,You should eat less smoke.,You should eat less smoke.
我食煙有時純粹係因為手痕。,Sometimes I smoke just to give my hands something to do.,I smoke a cigarette sometimes purely because of the fingerprints.,I smoke my cigarettes sometimes purely because of fingerprints.
佢去咗名古屋公幹。,He's gone to Nagoya on business.,He was a member of the Nagoya Communist Party.,I'm going to Nagoya Main Street.
隻紙鷂𠽤咗喺棵樹度。,The kite got caught in the tree.,The tree is a tree of the same name.,The tree is planted by a tree.
我舉高咗隻手嚟截的士。,I held up my hand to stop a taxi.,I'm a big man with a hand and a heart.,I'm standing tall with my hands on my knees.
如果你想俾啲貼士個的士司機，就俾多啲錢佢，跟住同佢講「唔使找」。,"If you want the taxi driver to have a tip, hand him too much money and say, ""Keep the change.""","If you want to know the drivers of each individual bus, you should know how much money you have, and follow him and say ""I don't find it.""","If you want to know the individual drivers of the buses, you should know how much money they have, and stay with them and say ""I can't find it""."
因為我哋架的士喺途中死咗火，所以我哋要行路去個火車站度。,"As our taxi broke down on the way, we had to walk to the station.","Because I was dying of fire on my way to the train station, I have to go to a train stop.","Because I'm dying of fire on my way to the train station, so I have to take the road to a station."
所以我咪叫你咪鬼搭車去囉。,That's why I told you not to go by car.,So I'll take you to the car with the Miki.,So I'm going to get you to ride in the car.
所以我哋都係留喺屋企啦。,So we'd better stay home.,So I'm all stuck in the house.,So I'm all staying in the house.
係又點呀屌你老母？,So fuckin' what.,I'll get your old mother's money.,"""Your old mother?"
所以我咪叫你唔好一個人去囉。,That's why I told you not to go by yourself.,I'm going to call you a good person.,So I'll call you a good person.
如果你有一部時光機⋯⋯,Imagine that you have a time machine.,If you had a time machine... ...I would have a life machine.,If you had a time machine ... ...
喺泰國，湊仔湊女唔係阿爸嘅責任，而係由阿媽一個人搞掂晒嘅。,"In Thailand, bringing up the children isn't the father's responsibility; it's entirely up to the mother.","In Thailand, the mother of the child is responsible for the father's responsibility, and the son is the sole parent of his mother.","In Thailand, the mother is responsible for her father's responsibility, and the father is the sole parent of her daughter."
