cantonese,english,greedy,beam
不了，我很忙，芝芝没告诉你？,"No, thanks, I'm busy. Didn't Gigi tell you?","No, I'm busy. Didn't Cheese tell you?","No, I'm busy. Didn't Cheese tell you?"
那样很无礼，拒绝跟美美跳舞,"That's very rude, refusing to dance with Mimi.",It was rude to refuse to dance with beauty.,It's rude to refuse to dance with beauty.
我的国家是男士邀请女士跳舞的,"Where I come from, the man asks the girl to dance.",My country is where men invite women to dance.,My country is where men invite women to dance.
你一定是来自石器时代的了,You must come from the Stone Age!,You must be from the Stone Age.,You must be from the Stone Age.
这里思想开放，女士可随意邀舞,"We think freely here. If a girl wants to dance with a man, she asks him.","It's open-minded, and women can dance.","It's open-minded, and women can dance at will."
我们不受过时的习俗约束,We're not inhibited by outmoded social conventions.,We are not bound by outdated customs.,We are not bound by outdated customs.
我明白，你可有邀请男士跳舞？,I can see that. Do you ask men to dance with you?,"I understand, can you invite men to dance?","I understand, can you invite men to dance?"
是时候你该明白 跳舞只是一种表达和释放的手法,Isn't it time you realised that dancing is nothing more than a form of expression or release?,It's time to realize that dancing is just a way of expressing and releasing.,It's time for you to realize that dancing is just a way of expressing yourself and letting go.
不需要拘谨或者造作,There's no need to be formal or cute about it.,It doesn't have to be rigid or fabricated.,It doesn't have to be rigid or fabricated.
事实上，我现在想表达自己,"As a matter of fact, I rather feel like expressing myself now.","In fact, I want to express myself now.","In fact, I want to express myself now."
也可以释放一下,And I could certainly use a release.,It can also be released.,It can also be released.
你真是交游广阔和有影响力,"Well, you certainly made friends and influenced people.",You're a very influential and influent person.,You're so broad and influential.
他们是共鸣学家,They're empathicalists.,They are symbiotics.,They are symbiotics.
你老是说着共鸣，可有亲身体验,You talk a lot about this empathy. Ever do anything about it yourself?,"You're always talking about consensus, but you've been there.","You've always been sympathetic, but experienced."
我不明白你的意思,I don't know what you mean.,I don't know what you mean.,I don't know what you mean.
何不向我传送共鸣 我不明白,- Why not throw some empathy my way? - I still don't know what you mean.,"Why didn't you send me a message, I don' t know.","Why don't you send me a consonant, and I'm not sure."
你没出现时可知道我的感受？,How do you think I feel when you don't show up for the job?,Can you know how I feel when you're not there?,Do you know how I feel when you're not there?
我要为你负责的,I'm responsible for you.,I'm responsible for you.,I'm responsible for you.
共鸣学家该感到我要找失业保障,An empathicalist should feel me asking for unemployment insurance.,I should feel like I'm looking for unemployment insurance.,A sociologist should feel like I'm looking for unemployment insurance.
在哪里出现？,Show up where?,Where did it come from?,Where did it come from?
他们在杜那里等了你一天,They've been waiting for you at Duval's all day.,They waited for you at Du for a day.,They waited for you at Du for a day.
我不知道，没有人告诉我,I had no idea. Nobody told me.,"I don't know, no one told me.","I don't know, no one told me."
我们打了几小时电话找你,We've been calling you on the telephone for hours.,We've been calling you for hours.,We've been calling you for hours.
我整天在咖啡室里，对不起,I've been at the cafe all day. I'm terribly sorry.,"I've been in the coffee room all day, sorry.","I've been in the coffee room all day, sorry."
我不想说得像人事部的语气 你该早点上床，摄影机不留情的,"Now, I don't want to sound like the personnel department, but you ought to get to bed early.","I don't want to sound like a staff tone, and you should go to bed early and the camera is not paying attention.","I don't want to sound like the HR department. You have to go to bed in the morning, and the camera is not paying attention."
我不想一辈子修饰你的照片,I don't want to spend my entire life retouching your pictures.,I don't want to edit your picture for a while.,I don't want to edit your picture for a while.
工作完后你可以尽情闲聊,"When we're finished, you can spend all your time making small talk.",You can talk as much as you can after work.,You can talk as much as you can after work.
闲聊？,Small talk?,What is it?,Talk about it?
你以为裙子的领口... 才会引发震惊世界的言论？,I suppose you think the neckline of a dress makes for world-shaking conversation?,You think the neck of a rabbit... is going to startle the world?,Did you think that the neck of the rabbit would cause the world to be shocked?
你不理解的事情就叫做闲聊,"Anything you don't understand, you call small talk.",What you don't understand is called chatting.,What you don't understand is called chatting.
你觉得霍怎样？,- What do you think of Flostre?,How do you feel about Ho?,How do you feel about Ho?
别转换话题,- Don't change the subject.,Don't change the subject.,Don't change the subject.
是一样的话题 我没见过霍,- It's the same subject. - I haven't met Flostre.,It's the same subject I've never met.,It's the same subject. I've never met Ho.
没有？,You haven't?,Did you?,Didn't you?
我以为你们已是老友,By now I thought you two'd be buddies.,I'm an old friend of yours.,I'm an old friend of yours.
霍不去咖啡室的，除了特别活动,"You don't find Flostre in cafes, except on special occasions.",He didn't go to the coffee room except for special events.,He didn't go to the café except for special events.
不是研究共鸣的人都见过他的 也不是每个美国人都见过总统,"Not everyone interested in empathicalism meets him, any more than every American meets the President.","Not everyone who studies the consensus has met him, and not every American has seen a president.","Not everyone who studies consensus has met him, and not every American has ever met a president."
获邀请到霍家是很大的荣幸 就像难得获邀请到...,"An invitation to Flostre's home is a great honour, and as hard to get as an invitation to...","It's an honor to be invited to the Hoover Institution, as hard as it is to get invited...","It's a privilege to be invited to the House of Hawks, just as it is hard to get invited..."
白宫,The White House.,The White House.,The White House.
拿霍来开玩笑不是很有趣,I don't think jokes about professor Flostre are funny.,It's not funny to joke with Naho.,It's not funny to joke with Naho.
好吧，我们友善点，我们要合作,No more jokes. But let's be friendly. We have to work together you know.,"Well, we're friends, and we need to work together.","Well, we're friends, and we need to work together."
合作无须友善，相识就行了,You don't have to be friendly to work together. Acquainted will do.,"Cooperation doesn't have to be friendship, it's knowledge.","Cooperation is not about friendship, it's about getting to know each other."
现在我要去杜那里？,Am I supposed to go over to Duval's now?,Now I'm going to Du?,Do I have to go to Du now?
我说你会在早上十点半过去,I said you'd be there at 10:30 in the morning.,I said you'd be there by 10:30 in the morning.,I said you'd be there by 10:30 in the morning.
我会去的 答应吗？,- I'll be there. - Promise?,"I'm going, you promise?","I'm going, do you promise?"
我说我会去就是了,"I said I'd be there, and I will.",I said I would go.,I said I'd go.
好的 我走了,"- Alright. - This is where I get off, good night.","Okay, I'm out of here.","Okay, I'm out of here."
等一会，不要生气,Wait a minute. Don't go away mad.,"Wait a minute, don't get mad at me.",Wait a minute. Don't get mad at me.
可否去散步，友善或相识一下？,"Can't we walk and get friendly, or better acquainted, or something?","Can we go for a walk, a friendly, or a little acquaintance?","Can we go for a walk, make friends, or get to know each other?"
不，谢谢，我要睡觉了,"No, thanks. I've got to go to bed.","No, thank you. I'm going to bed.","No, thank you. I'm going to bed."
我不想你一辈子修饰我的照片,I don't want you spending your life retouching my pictures.,I don't want you to be editing my photos for too long.,I don't want you to keep editing my photos.
你是生气吧？,"You are mad, aren't you?","You're mad, aren't you?","You are angry, aren't you?"
我没有生气，我...,"No, I'm not mad, I...","I'm not mad, I just...","I'm not mad, I just..."
我是伤心失望... 和生气,"I'm hurt, and disappointed, and... ..and mad.","I was sad, disappointed, and angry.",I was sadly disappointed... and angry.
他们做了几个小时,What are they doing? They've been in there for hours!,They did it for hours.,They did it for hours.
有很多事情要做的,There was a lot to be done.,There's a lot of work to do.,There's a lot to do.
他们像不高兴 也不是不高兴,- They don't look happy. - They don't look unhappy.,"They don't seem happy, and they're not.",They don't seem happy or unhappy.
我看不出，他们看似满意吗？,I can't tell. Do they look pleased?,I can't see if they look satisfied.,I can't see if they look satisfied.
不像不满意 各位,- They don't look displeased. - Everyone.,"Not like I'm not happy, guys.","It's not like I'm unhappy, guys."
压轴表演 我很紧张,- Maybe this is the grand finale. - I'm getting nervous.,I was nervous about the performance.,I was nervous.
你应该紧张的 坐下,- You should. - Sit down.,You should be nervous. Sit down.,You should be nervous. Sit down.
各位看到一条平庸的毛虫走进来,"My friends, you saw enter here a waif, a gamin, a lowly caterpillar.",You see a flat-bottomed caterpillar coming in.,You see a flattened caterpillar coming in.
虫茧破开，冒出来的不是蝴蝶,We open the cocoon but it is not a butterfly that emerges.,"The bugs broke open, and it didn't come out of the butterfly.",It's not butterflies.
不是？,- It's not?,Is that right?,Isn't that right?
不是，是一只天堂鸟,"- No, it is a bird of paradise.","No, it is a bird of paradise.","No, it is a bird of paradise."
开灯,Lights!,Turn on the lights.,Turn on the lights.
开幕,Curtain!,It opens.,It opens.
很美，难以置信 我说过什么,"- Beautiful! I don't believe it. - Maggie, what did I tell you?","It's beautiful, incredible.",It's amazing what I said.
你漂亮极了，感觉怎样？,You look absolutely fabulous. How does it feel?,"You're so beautiful, how do you feel?","You're so beautiful, how do you feel?"
很好，但这不是我,"It feels wonderful, but it's not me.","Okay, but it's not me.","Okay, but that's not me."
那发型、裙子都很完美,"The hair, the dress. It's perfection.",The hairstyle and necklace were perfect.,That hairstyle and necklace were perfect.
你看到我们下的一番心血吧？,You see how much we accomplish when you appear?,You see the blood on our hearts?,"You see the blood in our hearts, right?"
留下来吧，周五杜会展出那系列,Try to stay with us for a while. Duval shows the collection on Friday.,Stay here. Du will be showing that series on Friday.,Stay tuned. Du's showing the series on Friday.
周四晚我们会介绍你给传媒认识,"The night before, we'll introduce you to the press.","Thursday night, we'll introduce you to the media.","Thursday night, we're going to introduce you to the media."
这是你的机会，是你的一晚,It is your great opportunity. It will be your evening.,"This is your chance, this is the night.","This is your chance, it's your night."
你会来吧？,- You will be there?,"You're coming, right?","You're coming, aren't you?"
当然会的,"- Yes, of course.",Of course it will.,Of course it will.
迪克，你有一周时间替她拍照,"Dick, that gives you a week to photograph her.","Dick, you have a week to photograph her.","Dick, you have a week to photograph her."
我要漂亮、有气派的照片,I want marvelous pictures. Give me a lot of pizzazz.,"I wanted beautiful, sexy photos.","I wanted beautiful, sexy photos."
带她去吧，别让她离开你的视线,"Take her, and whatever you do, don't let her out of your sight.","Take her away, and don't let her get out of your sight.",Take her away. Don't let her out of your sight.
照我的说话做，放心吧,"Now, just do what I tell you. Don't worry about it.","Do what I say, and be assured.","Do as I say, and be assured."
高举那些汽球，我说跑时... 你就奔跑，不要放走汽球,"Now here, hold these balloons high in the air, and when I say ""run"", run as fast as you can and don't let the balloons go.","Raise those balls, and I say, when you run, run and don't let go.","Lift up those balls, and I say when you run -- run and don't let go of the ball."
奔跑和不要放走汽球,Run as fast as I can and don't let the balloons go.,Run and don't let go of the ball.,Run and don't let go.
对，准备好了吗？,"Right. Now, ready?",Are you ready?,Are you ready?
轻轻抬起头，你很开心,Head up a little. You're so happy.,"You're happy, you've got your head up.","Lift your head up, and you're happy."
好，跑,"Alright, run!","Okay, run.","All right, run."
跑！ 什么？,Run!,Run! What?,Run! What?
为何我总是...,"What? Oh, why did I ever... - What's wrong?",Why do I always...,Why do I always...
有什么问题？ 我该跑到哪里,- I don't know which way to go.,What's the matter? Where should I run?,What's the matter? Where should I run?
那边,That way.,There.,There you go.
抱歉，我很紧张，我从没做过,"I'm sorry, I'm terribly nervous. I've never done anything like this.","I'm sorry, I was nervous. I never did.","I'm sorry, I was nervous. I never did that."
不用紧张，你在巴黎的杜伊勒利,"There's nothing to be nervous about. You're in Paris, the Tuileries.","Don't worry, you're in Dueley, Paris.","Don't worry, you're in Dueley in Paris."
你拿着汽球，突然下雨你很开心,You've got balloons. There's a sudden shower. You're very happy.,"You're happy when you've got a ball of steam, and it's raining.",You've got a steam ball and it's raining and you're happy.
我为何开心？,- Why am I so happy?,Why am I happy?,Why am I happy?
因我说你开心,- Because I say you are.,Because I said you're happy.,Because I said you're happy.
你只须知道这个，你开心，跑吧,"That's all you have to know. You're happy. Now, run!","All you have to do is know this, have fun, run.",All you have to do is be happy and run.
好，很好,Great. That's great.,"Okay, that's good.","Okay, that's good."
停！,"Now, stop!",Stop it!,Stop it!
好极了,Wonderful!,That's great.,That's great.
今天你不开心,"Now listen closely, today you're not happy.",You're not happy today.,You're not happy today.
我很伤心...,- I'm hurt and...,I was sad.,I was sad.
一个悲惨的人,"- Right, now you're a creature of tragedy.",A miserable man.,A miserable man.
心碎、难过，你是安娜卡莲娜,"Heartbroken, suffering. You're Anna Karenina.","You are Anna Carolina, sadly.","It's sad, but you're Anna Carolina."
我可要跳到火车底？,Shall I throw myself under the train?,Can I jump to the bottom of the train?,Can I jump to the bottom of the train?
看吧，要美妙、崇高的自我牺牲,"We'll see. For now, just wonderful, noble self-sacrifice.","See, it takes a wonderful, sublime self-sacrifice.","See, it's a wonderful, sublime self-sacrifice."
你的爱人刚跟你吻别,Your lover has just kissed you goodbye.,Your lover just said goodbye.,Your lover just said goodbye to you.
你可能再感受不到那个吻和爱情,"You may never know that kiss again, or love again.",You may not feel that kiss and love anymore.,You may not feel that kiss and love anymore.
马塞，加点泪水在她眼里,"Marcel, put some tears in her eyes.","Massey, put some tears in her eyes.","Massey, put some tears in her eyes."
她已经眼泛泪光了,There are tears in her eyes.,She's got her eyes all glowing.,Her eyes were glowing.
你不单是个模特儿，还会演戏,"Good. You're not only a model, you're an actress.","You're not just a model, you'll be an actor.","Not only are you a model, you're also an actor."
采，来吧，伤心、渴望、凄惨,"Jo, give me the works. Heartbreak, longing, tragedy.","Come on, come on. Sad, longing, and terrible.","Come, come, sad, longing, wretched."
弄湿嘴唇,Wet your lips. Good.,Moisturise your lips.,Get your lips wet.
好，喷蒸气 蒸气,"Alright. Now, la steam! La steam!","Well, you can blow steam.","Okay, steam. Steam."
很好，像电影一样,That's great. Just like the movie.,"Good, like in a movie.","That's fine, like in a movie."
可怜的安娜卡莲娜,Poor Anna Karenina.,"Poor Anna Carolina, you know what I mean?",The poor Anna Carolina.
不要太多蒸气,"No, not too much steam.",Don't use too much steam.,Don't use too much steam.
少一点蒸气，很好，对了,Cut down the steam. That's wonderful. That's it.,"A little bit of steam, that's fine.","A little bit of steam, all right."
好，给她一些花，满怀的花,Good. Now give her some flowers. Flowers.,"Well, give her some flowers, full flowing flowors.","Well, give her some flowers."
好，再来...,Alright. More. More.,"Okay, back to you.","Okay, here we go."
采，现在是春天，你在恋爱,"Alright, Jo, it's spring. You're in love.","It's spring, and you're in love.","It's spring, and you're in love."
转身，好极,"Now, turn around. Fabulous!","Turn around, and it's very extreme.","Turn around, and it's very extreme."
你正步出歌剧院 沉醉于特里斯坦与伊索尔达之爱,"Now, you're walking out of the opera, leaving to the lush passionate music of Tristan and Isolde.","You're walking out of the opera house, drunk on Tristan and Isolde's love.",You're stepping out of the opera house drunk on the love of Tristan and Isolde.
你很不开心 现在又怎样？,- You're very unhappy. - What happened now?,You're not happy. What about now?,You're not happy. What about now?
在歌剧院有个约会，两个座位,A rendezvous at the opera. Two seats.,"There's a date in the opera house, two seats.","There's a date in the opera house, two seats."
他没有来，你很生气,He didn't show up. You're furious.,"He didn't come, and you were angry.","He didn't come, and you were angry."
我说走时，你怒气冲冲的下来,"When I say go, walk down with fire in your eyes and murder on your mind.","And when I said, ""Go"", your anger was coming down.","And when I said, ""Go"", you were furious."
弄湿嘴唇,Wet your lips.,Moisturise your lips.,Get your lips wet.
你是伊索尔达皇后，走...,"You're Isolde. You're a queen. Now, go, go, go!","You are Queen Isolda, go...","You are Queen Isolda, go..."
你很生特里斯坦的气,You're furious at Tristan.,You're very angry with Tristan.,You're mad at Tristan.
很好,That's great.,That's good.,That's good.
今天你只是个普通女孩,"Today, you're just a simple little girl.",You're just a normal girl today.,"Today, you're just an ordinary girl."
你住在塞纳河上，想钓鱼做午餐,"You live on the Seine river, and you're trying to catch a fish for your lunch.","You live on the Seine, and you want to fish for lunch.","You live on the Seine, and you want to fish for lunch."
采，钓鱼，你要做得像样点,"Jo, fish! I want you to look like you're fishing.",You have to do something like that.,You've got to do something like that.
我在尝试，但我从没钓过鱼,"I'm trying, but I've never fished before.","I tried, but I never caught fish.","I tried, but I never caught a fish."
当然了，不如你放风筝好了,That's quite obvious. You might just as well be flying a kite.,"Of course, you'd better let it cool.","Of course, you'd be better off letting go."
别那么外行的样子,Don't look like such an amateur.,It's not that weird.,It doesn't look that strange.
你不是在钓鱼,You're just not fishing!,You're not fishing.,You're not fishing.
我是的，有东西上钓,"I am, but it's caught on something.","I did, something was up.",I did. Something was up.
拉它上来,"Well, give it a yank.",Pull it up.,Pull it up.
假装你钓到一条鱼，拉它上来,Pretend you caught a fish. Pull it out.,Imagine you catch a fish and drag it up.,Let's say you catch a fish and pull it up.
好极了,Marvelous!,That's great.,That's great.
我想你 我知道，我是个公主,- Here's what I want you to be. - I know. I'm a princess at a ball.,"I think you know, I'm a princess.","I want you. I know, I'm a princess."
那鸟儿是受了巫师咀咒的王子,"The bird is really Prince Charming, turned into a bird by a wicked sorcerer.",The bird was the prince who was cursed by witches.,The bird was the prince who was cursed by witches.
但我们不想让它令舞会扫兴 就若无其事的继续跳舞,But we've decided not to let it spoil the ball and to go on dancing as if nothing had happened.,"But we don't want it to make the dance so much fun, and we just want to keep dancing.","But we don't want it to cheer up the dance, so we just keep dancing."
你比我更出色了,You've outgrown me.,You're better than me.,You're better than me.
现在吻他一下,"Alright. Now, give him a kiss.",Now kiss him.,Now kiss him.
他是你的白马王子，开心一点,"He's your Prince Charming, isn't he? Well, get happy!",He's your white horse prince.,He's your white horse prince.
好极了,That's a killer.,That's great.,That's great.
马塞，灯光,"Alright, Marcel, lights!","Marcy, the lights.","Massey, the lights."
采，你在哪里？,"Jo! Jo, where are you?",Where are you?,"Zhou, where are you?"
"你准备好就说""走""吧","Tell me when you're ready. Say ""go"".","When you're ready, say ""go"".","When you're ready, say, ""Go""."
我准备好了，你想怎样？,I'm ready. What are you gonna do?,I'm ready. What do you think?,I'm ready. What do you think?
"别理会我会怎样，说""走""吧","Never mind what I'm going to do. Just say ""go"".","Don't worry about what I'm going to do, just say, ""Go"".","Don't think about what I'm going to do, just say, ""Go""."
好，走,Alright. Go!,"Okay, go ahead and get out.","All right, let's go."
天啊，你很漂亮,Holy Moses! You look fabulous!,"Oh, my God, you are beautiful.","Oh, my God, you are beautiful."
停,"Look, stop.",Stop it.,Stop it.
停,Stop!,Stop it.,Stop it.
不行，快拍照 停,- I can't stop. Take the picture. - Stop!,"No, take a picture. Stop.","No, take a picture and stop."
我不想停，我喜欢这样，快拍,I don't want to stop. I like it. Take the picture.,"I don't want to stop, I like it like this, so I'm going to shoot.",I don't want to stop. I like it like this.
这是你的婚礼，你最快乐的一天,"Alright, this is your wedding day, the happiest day of your life.","It's your wedding, your happiest day.","It's your wedding, your happiest day."
钟声响起，花儿盛放，天使高歌,"Bells are ringing, flowers blooming, angels singing.","The trumpet sounded, the flowers bloomed, and the angels sang.","The trumpet sounded, the flowers blossomed, and the angels sang."
你深爱的男人在教堂里等你,The man you love more than anyone is inside the church waiting for you.,Your beloved man is waiting for you in the church.,The man you love is waiting for you in the church.
有什么问题？,What's the matter?,What's the matter?,What's the matter?
我穿着这件婚纱感到很虚伪,I just feel so dishonest standing here in this wedding dress.,I felt hypocritical wearing this wedding dress.,I felt hypocritical in this wedding dress.
不是我快乐的一天，没有人等我,It's not the happiest day of my life. And there's no one's waiting for me anywhere.,"It's not my happy day, no one is waiting for me.","It's not my happy day, no one is waiting for me."
但你以前的造型也是虚构的,But you weren't Anna Karenina. The bird wasn't Prince Charming.,But your previous form is also fictional.,But your previous form is also fictitious.
求求你 我不明白,"- Please, Dick. - I don't understand.","Please, I don't understand.","Please, I don't understand."
我明白,"Yes, I know.",I understand.,I understand that.
神父，我们不是来结婚的,"I'm afraid you got us wrong Padre, we're not here to get married.","Father, we are not married.","Father, we're not here to get married."
漂亮的新娘 这不是我的婚纱,- Such a beautiful bride. - This is not my dress.,"Beautiful bride, this is not my wedding dress.","Beautiful bride, this is not my wedding dress."
我们来拍照的,We're here to take some pictures.,We came to take pictures.,We're here to take pictures.
抱歉，我们该先征求你的同意,Perhaps we should've asked your permission first.,"Sorry, we'll have to ask for your consent first.","I'm sorry, but we'll have to ask for your consent first."
没有婚礼？,No wedding?,No wedding?,No wedding?
多可惜,"Aah, quel dommage!",It's such a shame.,What a pity.
谢谢,Merci.,Thank you.,Thank you.
采,Jo!,I'm going to get it.,You know what?
抱歉，我不知道，我有何问题,I'm terribly sorry. I don't know what's the matter with me.,"I'm sorry, I don't know what's wrong with me.","I'm sorry, I don't know what's wrong with me."
算了吧，我们工作得太辛苦了,Forget it and relax. We've been working too hard.,We worked too hard.,"Let's face it, we're working too hard."
我们快回家了吧？,I suppose we'll be going home soon?,"We're going home soon, right?","We're going home soon, aren't we?"
对了，你想家,That's it. You're probably homesick.,"Right, you want a home.","Right, you want a home."
拍完最后这辑照片就完工了,"Well, just this last picture, then you'll be through.",And we finished the last album.,The last album was finished.
然后怎样？,- And then what happens?,And then what?,And then what?
我们回家去,- We go home.,We went home.,We went home.
然后呢？,And then? What do you mean?,And then what?,And then what?
什么意思？ 我可会再见到你？,Will I see you any more?,What do you mean? Can I see you again?,What do you mean? Can I see you again?
若你当模特儿，我可替你找工作,"And how! If you model, I can get you all the bookings you can handle","If you're a model, I can get you a job.","If you're a model, I can get you a job."
我们每天合作 我会当模特儿,- We'd be working together every day. - I'll model. Good.,"We work together every day, and I'm a role model.","We work together every day, and I'm a role model."
好，我们会给你工作,We'll put you to work right now.,"Okay, we'll give you a job.","Okay, we'll give you a job."
站在这里，这是个好位置，好,"Stand here, please. There's a good place. Fine.","It's a good place to stop here, okay?","It's a good place to stop here, okay?"
很好,Lovely.,That's good.,That's good.
微微侧起头,"Now, tip your head just a little bit.",The small side starts.,It's a small side of the head.
好，微笑,Good. A little smile.,"Okay, smile.","Okay, smile."
采,Jo. Yes?,I'm going to get it.,You know what?
什么？ 确是有问题,Something is wrong.,What? There is a problem.,What? There is a problem.
没有，为什么？,Why?,"No, why?","No, why?"
你是我所见的最悲伤的新娘,You're the saddest looking bride I've ever seen.,You are the saddest bride I have ever met.,You are the saddest bride I have ever met.
好像你被爱人抛弃似的,You look as if you've been jilted.,It's like being abandoned by someone you love.,It's like being abandoned by someone you love.
这是你的婚礼,This is your wedding day.,This is your wedding.,This is your wedding.
你梦想的一天，你要嫁给爱人了,The day you've dreamt of all your life. You're marrying the man you love.,One day you're going to marry your lover.,"One day, you're going to marry someone you love."
深爱着你的人,The man who loves you. He's the only...,People who love you deeply.,People who love you deeply.
他是唯一的... 而你是...,And you're...,He's the only one... and you're...,He's the only one... and you're...
我以为这件事永不会发生,"Oh Dick, I thought it would never happen.",I thought this would never happen.,I thought this would never happen.
我不想回家，我爱巴黎,I never want to go home. I love Paris!,I didn't want to go home. I loved Paris.,I don't want to go home. I love Paris.
我爱这些衣服和教堂，我爱你,I love these clothes and the little church. And I love you.,"I love these clothes and the church, I like you.","I love these clothes and the church, and I like you."
你说什么？,What did you say?,What do you say?,What do you say?
我爱巴黎,I love Paris.,I love Paris.,I love Paris.
我刚才不是听到这个,That's not what I heard.,I just didn't hear this.,I just didn't hear this.
我的天,"My, my, my...!",My heaven.,My heaven.
真想不到,"Well, what do you know!",I really don't think so.,I really don't think so.
雅雯，在树上吹点微风,"Armande, let me see a breeze in the trees.","And he blew a whirlwind upon the trees,","And he blew a whirlwind upon the trees,"
不要太强劲，我不要旋风,Not too much. I don't want a cyclone.,"Don't be too strong, I don' t want the whirlwind.","Don't be too strong, I'm not going to blow the whirlwind."
喷泉,Fountains.,The fountain.,The fountain.
真兴奋，它令我想大叫,It's thrilling! It makes me cry for the Carolines.,It made me want to scream.,It made me want to scream.
巴基斯坦的通讯员答应出席了,The correspondent from Pakistan has just accepted.,A Pakistani correspondent promised to attend.,A Pakistani correspondent promised to attend.
马德里的通讯员会出席,The correspondent from Madrid finally will be able to make it after all.,A correspondent from Madrid will be present.,A correspondent from Madrid will be there.
伊斯坦堡那个人会来看表演,And the man from the Istanbul press will be at the presentation. Good.,The guy in Istanbul is coming to see the show.,The guy in Istanbul is coming to see the show.
很好，采去了哪里？,"Now, where on earth is Jo?","Okay, where did you get it?","Okay, where did you get it?"
她来了,Here she is.,She came.,She came.
谢天谢地，我以为你又失约了,Thank heavens. I thought you'd stand us up again.,Thank you. Thank You. I thought you were out of date again.,"Thank you, thank you. I thought you lost your engagement again."
婚纱照拍得怎样？,- How did the wedding pictures go?,How do you take a wedding photo?,How do you take a wedding photo?
很好,- Wonderfully.,That's good.,That's good.
他是个出色的摄影师,"Yes, he's a marvelous photographer. All you have to do is sit there.",He was a great photographer.,He was an excellent photographer.
你只要坐着，我向传媒致词 帐幕升起，你就令他们惊叹,"I make my speech to the press, the curtains will open and you dazzle 'em!","You sit down, I speak to the media, the tent is up, and you're amazing.","As you sit down, I speak to the media, the tent rises, and they're amazed."
给他们那股气派 我会尽力,- Give 'em the old pizzazz. - I'll try.,I'll do my best to give them that shit.,I'll do my best to give them that shit.
我会介绍你给他们认识,"Afterward, I will introduce you to them personally.",I'll introduce you to them.,I'll introduce you to them.
要迷人一点和解答他们的问题,Be charming and answer all of their questions.,It's fascinating and it'll answer their questions.,You have to be fascinated and answer their questions.
什么类型的问题？,"- Well, what sort of questions?",What kind of question?,What kind of question?
很简单的,- It's remarkably simple.,It's very simple.,It's very simple.
多年来我写过有关它的评论,I've been written editorials on it for years.,I've been writing about it for years.,I've written about it for years.
身为一个女士...,As one lady to another...,"As a lady, I was...",As a lady...
我们应该惺惺相惜的,We ought to look like one lady to another.,We should feel sorry for each other.,We should feel sorry for each other.
他们想知道谁替你弄发型... 你的饮食习惯，你睡什么床单,"They'll want to know who does your hair, what you eat, drink, what sheets you sleep on.","They want to know who's got your hairstyle, your diet, what kind of bed you sleep on.","They want to know who's shaping your hair -- your eating habits, what kind of mattress you sleep on."
你是打扮的权威,You're the authority on how to be lovely.,You're the authority of the dress.,You're the authority of the dress.
我要对他们说什么？,What am I going to tell them?,What should I tell them?,What should I tell them?
听着，重复跟我说,Just listen and repeat after me.,"Listen to me, and say it again and again.",Listen to me and say it again and again.
很漂亮！,"Ah, beautiful!",That's beautiful!,It's beautiful!
这些不是我的衣服,These are not my clothes.,These aren't my clothes.,These aren't my clothes.
为了今晚我首次见传媒而借的,They were lent me for tonight. I'm being presented to the press. Alors!,I borrowed it to meet the media for the first time tonight.,I borrowed it to meet the media for the first time tonight.
你的照片会出现在每一份报纸？,Your picture will be in all the newspapers?,Will your photo be in every newspaper?,Will your photo appear in every newspaper?
是，他们还会问我很多问题,"Oh, yes. And they'll ask me all sorts of questions.","Yes, they ask me a lot of questions.","Yes, they ask me a lot of questions."
天,Oh!,The sky.,The sky.
你还是留下来陪我好了,"I think perhaps you had better stay here with me, huh?",You stayed with me.,You stayed with me.
你们好,Hello!,You guys are good.,You guys are good.
记得我吗？,Don't you remember me? Jo Stockton?,Do you remember me?,Do you remember me?
施采,C'est Jo!,Mining.,Mining.
他们说霍奕谋什么？,What were they saying about Flostre?,What did they say Ho Chi Minh was up to?,What did they say Ho Chi Minh was up to?
他会在咖啡室演讲，他们迟到了,That he is speaking at the café and that they are late.,"He's going to give a talk in the coffee shop, and they're late.","He speaks in the café, and they're late."
颜先生五分钟后会到来,Mr Avery will be by in five minutes.,Mr. Yang will be here in five minutes.,Mr. Yang will be here in five minutes.
叫他去咖啡室接我吧,Will you ask him to pick me up at the cafe?,Tell him to pick me up in the coffee shop.,Tell him to pick me up at the cafe.
对不起，先生,"Pardon, monsieur.","I'm sorry, sir.","I'm sorry about that, sir."
我是... 很抱歉,Je suis... terribly sorry.,I was... I'm sorry.,I was -- I'm sorry.
我...,- I...,I was...,I was...
不要紧，小姐,"- Quite alright, mademoiselle.","Don't be too much of a rush, Miss.","Don't worry about it, miss."
欢迎你,You're quite welcome.,Welcome to the world.,You are welcome.
小姐,"Now, mademoiselle.",Miss.,"Missy, please."
我不能相信，我以为你很老,I can't believe it. I thought you'd be old!,I can't believe I thought you were old.,I can't believe I thought you were old.
我是指一个哲学家和教授,"Well, I mean, a philosopher and professor.",I mean a philosopher and professor.,I mean a philosopher and professor.
该是很老，我是指成熟,"It all suggests age. I mean, maturity.","It's very old, I mean mature.","It's very old, I mean mature."
恐怕我令你失望了,I'm afraid I've disappointed you. Not at all.,I'm afraid I disappointed you.,I'm afraid I disappointed you.
没理由杰出的人不可以是年轻的,There's no reason why someone brilliant shouldn't be young.,There's no reason why a great person can't be young.,There's no reason why great people can't be young.
