cantonese,english
將呢啲物質撈埋一齊好危險㗎。,The mixture of these substances is dangerous.
將呢啲生字寫落你本簿度吖。,Write these words in your notebook.
呢啲古老嘅習俗都係一代一代噉傳落嚟嘅。,These old customs have been handed down from generation to generation.
呢啲習俗同我哋國家唔同。,These customs differ from those in our country.
邊有咁大隻蛤乸隨街跳呀？,This is too good to be true.
呢本係書。,This is a book.
𡀲係書。,This is a book.
佢就係喺呢間屋度出世㗎喇。,This is the house he was born in.
呢條係一條好深嘅數學題。,This is a difficult math problem.
呢朵係成個花園最靚嘅花。,This is the most beautiful flower in the garden.
呢個袋邊個架？,Whose bag is this?
呢個會好緊要㗎，你唔好唔嚟呀。,This is a very important meeting. You ought not to miss it.
呢把遮唔係我㗎，係人哋㗎。,This isn't my umbrella; it's somebody else's.
呢個係我見過最靚嘅景。,This is the finest view I have ever seen.
呢隻錶我尋日買嘅。,This is the watch I bought yesterday.
呢樣唔係小事。,It's no small matter.
係畀你嘅。,This is for you.
你可唔可以教我填呢份表格呀？,Can you tell me how to fill in this form?
呢隻雪糕好好味㗎，你試唔試少少呀？,This is very good ice cream. Won't you have some?
呢個你可以自己keep返。,You can keep this one for yourself.
呢把遮係咪你㗎？,Is this your umbrella?
呢支就係我尋日整唔見嗰支筆喇。,This is the pen that I lost yesterday.
呢個係我嘅公司地址。,This is my business address.
呢間就係我哋舊年住嗰間酒店喇。,This is the hotel where we stayed last year.
我唔知由而家開始我要做乜。,I don't know what to do from now on.
我保證我以後都會準時㗎喇。,"From now on, I promise to be punctual."
我由而家開始唔會再講大話㗎喇。,I will never tell a lie from now on.
我哋以後要保持聯絡呀。,"From now on, let's keep in touch."
Blake 葬喺呢間教堂。,This is the church where Blake is buried.
你知唔知佢哋係邊個？,Do you know who they are?
哥爾夫球好好玩㗎。,Playing golf is great fun.
雖然啲猩猩唔識開口講嘢，但係佢哋可以用其他方法同人類溝通。,"Gorillas cannot use their lips and tongues to speak, but they can communicate with people in other ways."
可唔可以麻煩你閂咗個窗佢呀？,May I trouble you to shut the window?
我會處理呢個問題。,I will deal with this problem.
呢條問題啲答案全部錯晒。,All the answers to this question were wrong.
呢本書對你嚟講可能難咗啲。,This book is too difficult for you to read.
呢本書好深，一個禮拜好難睇得晒。,This book is too difficult to read in a week.
我覺得呢本書好有趣。,I found this book interesting.
呢本書值得一睇。,This book is worth reading.
呢啲書唔拎得走㗎。,You can't take away these books.
我肯定呢本書會對你好有用。,I am sure this book will be of great use to you.
呢本書每一句句子都好重要。,Every sentence in this book is important.
你可唔可以幫我喺呢本書度簽個名呀？,Could I have your autograph on this book?
呢頂帽都幾襯我噃。,This hat suits me nicely.
呢頂帽係咪你㗎？,Is this hat yours?
我由今朝開始就一路喺度打呢份報告書，但係到而家都淨係打咗一半。,"I have been typing this report since this morning, but I'm only halfway through."
呢度附近有無加油站㗎？,Is there a gas station around here?
你有冇喺附近見過一個啡色銀包？,Did you see a brown wallet around here?
呢句句子個「get」字係咩意思呢？,"What does the word ""get"" mean in this sentence?"
呢個故仔嘅女主角係一個細路女。,The heroine of this story is a little girl.
呢條裙都幾靚喎，可唔可以試著㗎？,I like this skirt. May I try it on?
呢間房裏面有部電視機。,There is a television in this room.
呢間房細得濟喇，裝唔落五十個人。,This room is too small to contain 50 men.
呢間房唔俾食煙㗎。,You may not smoke in this room.
呢間房唔俾食煙。,You cannot smoke in this room.
呢塊布摸上手好滑。,This cloth feels smooth.
呢個箱裏面裝滿晒蘋果。,This box is filled with apples.
兩者之間冇乜分別。,There is not much difference between the two.
今個秋天冇我哋想像中落咁多雪。,We had less snow this winter than we had expected.
聽講今個冬天係呢十年嚟最凍嘅冬天喎。,I hear this is the coldest winter we have had in the past ten years.
呢部電話壞咗。,This telephone is out of order.
呢間舖頭九點閂門。,This store is closed at nine.
呢間舖頭啲壽司好好食。,The sushi at this shop tastes good.
你知唔知呢個字點解呀？,Do you know the meaning of this word?
我唔識呢個字。,I don't understand this word.
呢條村啲嘢平過我哋條村好多。,The things in this village are cheaper than those in ours.
將呢條線分做二十個等分。,Divide this line into twenty equal parts.
呢條河有一咪闊。,This river is one mile across.
呢張係一張免費飛。,This is a free ticket.
呢間圖書館有冇英文雜誌㗎？,Are there any English magazines in this library?
呢個公仔係咪你自己整㗎？,Did you make this doll by yourself?
呢個消息係唔係真㗎？,Is this information right?
呢個女仔邊個嚟㗎？,Who is this girl?
天氣咁熱，要戴返頂帽先好出街呀。,Don't go out in this heat with a bare head.
你今個禮拜六日得唔得閒呀？,Are you free this weekend?
張相係佢影嘅。,The picture was taken by him.
你介唔介意我攞呢本字典去用呀？,Would you mind my using this dictionary?
呢本字典雖然好貴，但係都係值得買嘅。,"This dictionary is very expensive, but is worth buying."
關於呢件事，等佢下次嚟我會話佢知㗎啦。,I will tell him about it when he comes next time.
呢隻錶要攞去修理喇。佢每日都會快廿分鐘。,This watch needs repairing. It gains 20 minutes a day.
呢隻手錶有防震功能。,This watch is shock-proof.
我諗住送呢隻錶俾你。,This watch is meant for you.
唔好講呢件事俾阿爸聽。,Don't tell Father about this.
呢啲資料未必可靠。,It is questionable whether this data can be relied on.
呢首詩原本係用法文寫嘅。,This poem was originally written in French.
張紙大得濟，擺唔落個信封度。,The paper is too big for the envelope.
你最近唔係好似你。,You don't seem to be yourself these days.
呢道門點鎖都鎖唔到。,This door won't lock.
呢座建築物就起完㗎喇。,This building is near completion.
啲座建築物喺威尼斯嘅眾多名勝之一。,This building is one of the many glories of Venice.
呢隻襪穿咗個窿。,There's a hole in this sock.
呢段音樂令我又想起嗰個女仔。,This music reminds me of that girl.
喺條咁急嘅急流裏面游水，一定會好危險㗎。,It must be dangerous to swim in this rapid stream.
呢部機重得濟喇，我拎唔郁。,This machine is too heavy for me to carry.
呢部機好易用。,This machine is easy to handle.
你識唔識得用呢部機呀？,Do you know how to use this machine?
呢間學校女仔多過男仔。,There are more girls than boys in this school.
我做完功課，想瞓陣覺，但係又要返學⋯⋯,"Now that I have finished this assignment I want to go to sleep, but I have to go to school."
呢朵花係黃色嘅，但係其他嗰啲全部都係藍色嘅。,"This flower is yellow, but all the others are blue."
呢首歌令我諗返起我細個嗰陣啲嘢。,This song reminds me of my childhood.
呢間屋要維修吓喇。,This house must be done up.
呢間屋係我嘅。,This house is mine.
我今個夏天諗住踩單車環遊歐洲。,I'll travel across Europe by bicycle this summer.
呢支鉛筆有幾長呀？,How long is this pencil?
我覺得呢套戲值得一睇再睇。,I think it is worthwhile to see this film twice.
我想問吓修理呢張凳要幾多錢呀？,What would it cost to have this chair repaired?
呢粒蘋果好酸。,This apple tastes sour.
呢部收音機幾多錢呀？,What is the price of this radio?
好似咁嘅錯誤好容易被忽略㗎。,Mistakes like these are easily overlooked.
呢架小巴可以坐到廿五個人。,This minibus holds 25 persons.
呢間酒店裝得落一千人。,This hotel has accommodations for 1000 guests.
呢支原子筆我買咗兩蚊。,I bought this ball-point for two dollars.
呢支筆係我㗎。,This pen belongs to me.
你想用呢支筆，我就借俾你啦。,"If you want this pen, I will lend it to you."
呢塊牛扒好香。,This beefsteak smells good.
呢間舖頭啲漢堡包好味過嗰間嗰啲。,This store's hamburgers taste better than that one's.
呢支玫瑰好靚呀。,This rose is very beautiful.
呢架巴士載到五十個人。,This bus can hold fifty people.
呢啲睡衣好吸汗。,These pajamas absorb sweat well.
唔該你裝啲水落呢個桶度吖。,Please fill this bucket with water.
呢個桶穿咗個窿。,There's a hole in this bucket.
呢啲黏液可以當膠水用。,This sticky liquid can be substituted for glue.
呢條呔幾多錢呀？,How much is this tie?
呢把刀好利。,This knife cuts well.
嗰條裙睇落好似好貴噉。,That dress seems to be very expensive.
呢張枱同我哋屋企嗰張一樣大。,This table is just as large as ours.
呢張梳化幾多錢呀？,How much is this sofa?
有人喺呢張梳化度瞓過。,Somebody has been sleeping on this sofa.
呢間游水學校每個月要俾幾多學費㗎？,How much is the monthly fee of this swimming school?
你話兜啫喱凝咗未吖嗱？,Do you think this jelly's firm enough to eat yet?
呢件外套無衫袋㗎。,This coat hasn't pockets.
呢隻蛋糕真係冇啲人講到咁好食囉。,This cake doesn't really live up to its reputation.
呢條規則唔係幾時都啱用㗎。,This rule doesn't apply to every case.
呢部相機冇嗰部咁貴。,This camera is less expensive than that one.
你可唔可以用呢部相機幫我哋影幅相呀？,Would you take a picture of us with this camera?
